char,fq
預感,16
頭殼,3
頭殼頂,3
額角,13
顯現,7
飲奶,3
馬蹄,4
驚呼,13
魔掌,2
魚貫,4
黑絲,7
齊聲,4
齊集,3
制約,4
唞涼,1
寶藏,3
巨星,10
放任,7
止步,2
死灰復燃,1
沉淪,10
自怨自艾,3
虧欠,4
逼迫,4
道家,1
不折不扣,2
事成,9
人之常情,8
以貌取人,8
呸,10
慳啲啦,3
溝女,29
瞇埋眼,8
蘭花,1
蘭花手,1
處男,8
頂你個肺,14
麻麻地,8
不特已,2
僧多粥少,1
冇研究,2
加租,4
受力,2
吊高嚟賣,1
啝,2
噏耷,2
士紳,2
士紳化,1
大王,13
大窩口,1
失德,1
學生妹,6
客源,2
屋邨,7
布疋,1
帖文,3
幫補,6
把鬼,2
旅行社,2
格仔舖,1
為兩餐,3
疋,4
的式,2
睇症,1
短途,1
磡,9
紅磡,6
耷,22
色相,10
藥材,4
藥材舖,3
西九,4
邊忽似,4
重有,22
電子,40
風情,2
鬼話,5
功用,11
古文,12
好比,12
實用文,6
左翼,24
引以為戒,2
想當然,3
推介,27
提倡,20
文獻,13
着數,6
篇幅,18
索引,2
翹,12
翹楚,2
自滿,1
補上,5
見效,3
觀乎,15
語境,9
隻字不提,3
青睞,2
dup,5
下流,15
中外,10
二次大戰,1
侵侵,1
古今,12
古今中外,2
對沖,4
就讀,7
強積金,9
房地產,2
搞清,47
搞清楚,46
摸底,2
摸頂,3
日圓,3
有點,69
權宜之計,1
港股,10
紅酒,26
美股,9
股市,26
舊水,18
貨幣,65
貶值,8
通縮,5
通脹,20
遲啲,35
銀紙,20
閃卡,6
陰謀論,8
黑社會,39
watt,2
今非昔比,1
倒閉,3
偷走,1
元旦,1
刑期,5
加息,9
加減,7
叱咤,7
名氣,10
周期,8
和好,3
和好如初,2
哪裡,30
唱作,2
噩,12
囍,10
囍帖,7
城牆,2
堆砌,9
字頭,14
學師,3
實至名歸,3
小伙子,1
尾聲,11
年期,10
微積分,5
悉數,2
成績表,9
斐然,1
樂迷,4
樂隊,5
洗禮,5
派台,3
派台歌,1
淡出,4
減數,3
渾噩,5
渾渾噩噩,5
炫耀,10
爆肺,1
生力軍,2
生育,15
留下,34
盛事,6
監禁,9
眨下眼,23
罪成,1
花蕊,2
蕊,5
薛,4
袁,30
豐收,3
退位,3
銀獎,2
銅獎,1
附加數,1
附加數學,1
頂峰,5
仙女,6
供電,3
南極,3
啟動,26
太空船,2
太陽系,1
小行星,2
平安夜,22
年紀輕輕,8
幾經,12
後援,2
後背,1
愕,29
感情用事,4
戰火,4
投奔,2
擊退,5
榨取,1
甜故,22
皺眉,20
穹,3
背書,5
艦隊,7
莫非,5
行星,3
詫,9
詫異,9
超新星,1
蹂,7
蹂躪,7
錯愕,11
么心么肺,1
事故,17
來不及,5
冬季,3
受難,6
口角,3
吃不消,4
執教,2
執筆,9
堅守,7
士氣,7
完美主義,4
幾許,2
心力交瘁,2
心散,1
持久力,2
排列,14
掩護,3
搭船,6
敗筆,6
散渙,1
書包,19
曼聯,6
榮譽,23
溫馴,2
球壇,3
球星,10
球隊,25
生銹,2
皇朝,2
皮鞋,14
相貌,3
相隨,2
眾叛親離,3
眾矢之的,1
祥和,4
締造,1
聞到,40
薄面,1
蠟筆,1
行當,2
街外,6
話事人,7
護送,3
貨如輪轉,4
走馬燈,4
軍心,2
軟硬兼施,3
轉會,1
逍遙快活,1
遜,18
鋒利,9
錢財,3
長氣,9
間尺,5
離去,18
面癱,2
預知,3
領隊,6
風雨,24
麾下,2
上限,18
使乜,24
來者,49
加密,7
加密貨幣,5
台詞,13
喂呀,12
委內瑞拉,1
巨人,7
廢事,12
惡性,9
搵快錢,2
摔,17
摔角,4
昆水,1
泥漿,3
泥漿摔角,2
渾水摸魚,1
潛台詞,3
燒鵝,2
百合,7
總數,7
肩膊,1
藍籌,7
財經,33
財經演員,4
買家,4
賓周,5
通稱,1
鼻屎,2
上學,14
並肩,7
久唔久,2
以心為心,1
傍身,5
功力,19
加緊,10
加薪,8
動機,30
募集,1
口腫面腫,3
噓寒問暖,5
囑,8
囑咐,2
困局,8
平輩,1
從屬,4
悉心,5
抽濕,1
拖馬,1
提拔,4
提攜,4
新穎,4
時興,6
槽,10
歃血為盟,1
神檯,1
穎,19
筍嘢,1
結交,2
老相好,1
肥水,2
胸肌,2
苦惱,10
落入,5
貼身,10
賀卡,1
跳槽,5
轉戰,2
迷思,4
通水,2
逢凶化吉,1
醒你,16
鑒,7
鑽木取火,1
陰德,1
騎呢怪,1
𢱑,1
No.1,2
儘早,1
弦樂,6
悍,8
懷孕,6
抌,6
敲擊,1
暴走,5
木結他,2
樸素,5
殘舊,17
猖狂,3
琴鍵,1
疲倦,17
結他,52
脫身,7
被困,3
迷幻,6
那樣,12
電結,8
電結他,8
鬆綁,3
亂嚟,18
什麼,20
公開試,26
印花,15
叻女,4
嗰啲嘢,9
填氹,2
增值,21
多愁善感,1
娘娘,5
容身,3
揚名,2
揚名立萬,2
粗心,3
粗心大意,3
細膽,2
襯衫,3
講義,7
質地,7
鄺,81
霸氣,49
一概而論,1
三思,7
便溺,2
免受,4
共存,6
凌駕,5
利比亞,1
北非,4
哺,3
哺乳,3
哺乳類,3
喵,3
堆積,1
報廢,1
大髀,11
失明,17
奔放,4
妨礙,3
實驗品,1
廳堂,3
引導,17
得主,2
應否,10
捕獵,2
排泄,1
時世,4
時至今日,8
朝夕相對,1
樂此不疲,8
步入,10
毛髮,4
無他,7
營養,11
猜測,3
睡房,11
稱雄,1
罕見,12
義教,1
考古,8
聽教,5
聽教聽話,4
自圓其說,8
萎縮,1
視力,7
誘導,2
貓仔,4
轉而,6
鄉鎮,1
配種,1
附帶,3
陌生人,18
零食,14
頭頭,9
頭頭是道,6
飼,8
飼養,5
餵食,4
餵飼,2
馴獸,1
一凹一凸,2
一目了然,4
三五七,9
主菜,3
個勢,10
和諧,25
天經地義,8
女人味,1
山窿,3
帛,13
幫輕,2
干戈,6
愜意,2
持家,2
指點迷津,2
揸主意,2
油條,3
波士,19
潤滑,3
無微不至,1
特異,1
特異功能,1
畏首畏尾,2
當其時,1
發自,4
竅門,8
符碌,2
老江湖,4
老油條,3
腑,10
膜,28
評語,39
課外,10
調和,6
謹慎,9
關顧,3
隔膜,5
首要,5
K歌,6
on9仔,4
wou,25
一石二鳥,1
三甲,2
三角巾,1
上帝,51
不明不白,5
不知所終,1
不詳,5
不諳,3
不負眾望,1
不過不失,6
乸西,1
仗義,3
佈局,10
低谷,6
使用者,7
來年,3
例句,9
俗不可耐,3
俗套,3
修葺,1
修養,11
借代,1
倩,6
傳道,8
傷口,21
傾電話,10
僱,39
僱主,18
僱員,10
入夢,1
入心入肺,1
內心戲,1
八仙,2
冤氣,1
出機,5
出沒,3
切磋,1
別離,3
刻劃,5
削弱,3
削減,5
卑微,9
厚積薄發,1
厚面皮,3
只須,5
各有各,16
合用,2
同屋,57
含意,13
周而復始,4
咀嚼,6
哭泣,1
唔少得,3
問鼎,5
啲打,9
善待,3
單戀,6
嗌破喉嚨,1
嚼,16
埋周,3
埋藏,9
執意,6
壯舉,1
外力,23
夢鄉,1
大作,15
大將,3
天一光,1
天涯海角,1
天災,8
天災人禍,1
天衣無縫,6
天邊,9
失眠,17
失魂,1
失魂落魄,1
好抽,5
好色,4
字句,9
存疑,1
孫悟空,5
容顏,1
寶玉,3
對不起,26
小題大做,1
山勢,1
師承,1
干擾,8
庸俗,7
廖,19
弄巧反拙,1
引火自焚,3
心悅誠服,3
心照,10
心照不宣,5
忘掉,5
性行為,6
恰當,8
悲哀,27
情不自禁,8
情愛,5
情色,4
想起,38
意淫,1
愛戀,4
慰問,7
應用程式,4
懊悔,2
戀情,14
成家立室,8
打得火熱,1
打擾,11
扭擰,5
技窮,1
抹茶,1
拉鋸,2
拘泥,4
招積,3
拜會,1
捉迷藏,1
排行,6
掛念,4
探戈,4
揣摩,8
揮發,5
撇開,7
撫摸,13
撲朔迷離,3
操刀,1
擱淺,5
攤開,15
救傷,1
敗壞,17
敘事,2
教材,29
敵手,4
文法,17
斗膽,3
新歡,8
時辰,5
景物,4
暗啞,15
暗啞底,14
暴雨,20
書展,37
最好不過,2
服氣,6
朦朧,8
柏樹,2
根基,10
極其量,11
槍擊,3
機率,19
櫥,3
櫥窗,3
歌迷,2
死板,1
死難,3
殉,13
殉情,7
殺掉,1
氣力,21
永別,2
沒法,4
海洋,19
消亡,4
淡忘,1
濫竽充數,1
瀟灑,20
灌注,2
火起,2
為乜,7
為民請命,2
無以復加,3
無動於衷,12
無名火起,2
無礙,4
熟能生巧,1
爆漿,1
爭執,5
片面,9
牽掛,4
狠心,11
狡辯,8
猴,13
猴子,1
獨樹一幟,1
珠玉在前,6
理虧,7
環遊,8
瓦礫,3
生硬,15
用者,10
異議,4
痛罵,1
癡心錯付,1
白天,2
百貨,13
皮毛,6
相形見絀,1
相敬如賓,3
眼球,16
睇唔出,12
矮化,7
破費,3
砵,7
碌卡,4
社教化,1
神來之筆,5
禱告,3
突顯,7
立意,6
章節,7
答謝,7
粗劣,1
精煉,4
糾纏,21
縮短,5
縱火,5
繃帶,8
纏綿,4
缺少,10
老嫗,1
老態,3
老當益壯,1
聽香,1
背誦,3
自知之明,10
舊約,1
艾草,2
芝士,36
芹,5
苦戀,9
苦瓜,4
萬劫不復,10
落點,1
虛假,10
蜀,4
街知巷聞,5
街頭巷尾,2
裸露,9
西遊記,3
覆蓋,13
詭辯,6
誓死,7
語焉不詳,3
誤解,16
談婚論嫁,5
請命,2
謂語,13
警覺,4
讚美,16
豚,10
豬皮,1
質樸,1
跛,7
路過,13
身影,32
輪船,3
轉行,8
辛酸,8
辯稱,1
辰,11
途經,5
造句,6
遊記,5
過水,12
過火,8
那麼,135
重播,15
鋸,11
鑄造,3
長青,4
限期,3
陳詞,6
隔絕,1
雄辯,11
離棄,3
雨季,4
電光火石,5
青澀,2
頂真,2
預兆,3
領會,6
頭暈,7
馬尼拉,2
駕馭,5
驅趕,3
驅逐,15
驚恐,9
魷,4
魷魚,4
鯨,10
鯨魚,5
黛,6
鼎,28
上市,33
乳臭未乾,2
人品,7
代名詞,4
千里馬,2
半衰期,1
即日,5
即日鮮,1
品性,2
噱,5
噱頭,5
大日子,6
天平,1
家翁,2
引入,20
往績,6
感嘆,5
懶散,4
手板,2
手板眼見,2
投考,3
搶手,3
新簇簇,2
有手有腳,4
沉澱,5
泛指,5
泳褲,1
浸淫,7
潮退,3
炙手可熱,3
獨具慧眼,1
生性,24
目瞪口呆,16
管教,6
美容,14
羽翼漸豐,1
老成,4
股價,24
自修,22
財務,17
這麼,52
遮掩,6
野雞,7
長揸,2
順理成章,14
飯焦,1
link,21
一鼓作氣,6
上映,9
九天,2
住宅,12
催谷,5
內鬼,5
冇品,1
出年,13
千秋萬世,1
厚愛,1
原著,6
同步,11
執導,5
大大力,5
失竊,1
家嫂,1
密室,6
寶劍,10
封閉,6
導賞,5
小輪,8
巧妙,11
弊在,6
懸疑,3
掌聲,16
掕,4
搬龍門,3
撕爛,1
放映,2
樹木,7
橋樑,9
欣慰,5
渲,6
渲染,6
無補於事,4
牛屎,4
生冷,3
用心良苦,5
異口同聲,9
發行,13
督察,2
瞓醒,10
移植,2
竿,6
米缸,2
絮,12
罪魁禍首,2
聽人講,15
花式,2
花絮,3
花邊,9
落畫,1
蚊香,2
警員,10
販賣,9
赤子之心,2
超乎,4
跟手,17
逆流,18
過冬,2
配樂,5
銀河,12
鐵路,18
開明,4
隨量,2
非同凡響,7
順水推舟,2
預約,3
魁,11
一嘢,32
一技之長,4
一日到黑,7
三明治,2
不務正業,2
乜春,47
伏特,6
伏特加,4
佐敦,23
依稀,8
保管,2
做女,21
健力士,5
免稅,3
分清,6
初中生,2
初夜,14
判斷力,7
制唔過,1
勞斯萊斯,2
午飯,23
反鎖,1
同住,11
咭,60
咭數,1
咸豐年,5
品嘗,6
啤酒,64
嚎,9
嚎哭,5
嚴寒,1
地主,10
地老天荒,1
坎,20
堤壩,2
報應,15
夠秤,3
大全,5
大耳窿,4
大話骰,5
女生,94
委以重任,1
威士,30
威士忌,30
學妹,2
室友,10
寶庫,4
對講機,6
屎眼,6
山林,7
幸好,8
往來,6
意志力,7
戒口,1
投閒置散,3
拖欠,1
拗柴,2
拿拿臨,15
提取,4
擺酒,23
斷片,1
晚飯,25
暢飲,3
未夠秤,2
本科,12
本科生,1
根治,2
樞,3
樞密院,1
橙,101
橙汁,3
橙紅,4
次數,25
正嘢,4
注重,6
洩露,7
洪水,6
減薪,8
濃度,2
火水,5
熱力,12
現眼報,1
琥珀,1
瓜柴,5
痛風,19
百貨公司,7
的士佬,28
盅,14
相當於,7
眼矇,2
眼矇矇,2
眼角,13
睇住嚟,2
破處,18
碌嘢,6
窩心,8
竇,175
笑淫淫,8
筷,37
筷子,29
紅都面晒,4
紫色,23
綠茶,9
美點雙輝,1
老嘢,6
老姑婆,1
老竇,154
老麥,20
耍,29
耍樂,2
耳窿,9
聯誼,6
腳架,13
腳趾,4
腳趾公,1
舉杯,10
色澤,2
著落,3
蕩漾,1
褪色,4
要員,6
見微知著,3
話咁易,8
議事,12
豪氣,9
走堂,5
趾,6
跌打,1
跌打酒,1
逞,16
逞強,2
酒量,10
醇,12
重任,2
開朗,12
閒置,6
阿茂阿壽,2
隔夜,3
隔日,2
雞尾酒,3
零下,3
預科,16
頓時,8
餘下,17
骰盅,11
鬥地主,1
鬧翻,5
鬼屋,2
黑鬼,9
優雅,9
搭訕,12
歷練,11
翠,18
行行,26
一去不返,3
不厭其煩,7
交談,18
任勞任怨,3
修行,3
兇猛,1
冷漠,10
動氣,3
厭倦,11
口舌之爭,2
和稀泥,2
嗲聲嗲氣,1
失重,3
好勝,15
嬰孩,6
定律,28
尊卑,1
平和,10
快高長大,1
打圓場,14
拉西,8
擴散,9
敷衍,22
暗盤,2
未嘗不可,2
浮現,23
為期,7
照應,5
肋骨,4
虐殺,2
語句,23
調校,3
貪玩,4
足月,1
邂逅,5
鋒芒,3
長週,1
陳義過高,2
面目可憎,3
頑疾,2
食品,9
體態,1
體重,6
A字膊,1
boy,13
中坑,5
事必,6
交戲,1
你老闆,22
假使,1
優厚,3
凝固,3
出問題,14
出汗,5
初出茅廬,5
功高蓋主,1
十八廿二,7
卸責,7
可塑性,6
同義詞,4
器皿,3
大個仔,16
大拿拿,5
好好醜醜,1
定型,11
對落,3
廬,5
息事寧人,9
扮工,2
擺平,1
斤兩,2
業務,16
汗毛,1
洪水猛獸,3
液態,6
潛質,9
片開,1
猛獸,4
睬,28
知足,1
硬膠,2
稱作,6
老練,5
能幹,7
自大,21
處世,5
蛻變,2
轉型,5
透視,3
造人,5
遞增,1
金字塔,4
鋒芒畢露,1
長出,9
阿姑,1
陽具,15
隔山打牛,1
食鹽,5
飲得杯落,7
DVD,10
上陣,12
中上,7
人各有志,5
任教,4
傑出,2
傻氣,3
僵化,2
光學,2
兒時,12
入場券,2
六壬,1
出人頭地,7
出盡法寶,1
出資,2
分家,2
分數,13
劇集,31
勞碌,4
勞苦功高,2
匪語,2
升讀,2
參演,4
反叛,7
口述,5
古道熱腸,1
合辦,4
咖喱,13
喺處,7
噴水池,20
在旁,5
大放異彩,2
天份,6
女真,21
委託,3
威迫,2
嫩,44
嫲,225
嫲嫲,93
孝敬,4
安身,1
定嘞,1
宣告,11
密密,11
寒背,1
寫實,5
局住,2
層級,2
師生,2
幕前,5
幕後,13
平心靜氣,8
幼稚園,38
廚師,9
弱小,8
彩虹,6
彰顯,8
影圈,1
應試,6
戲份,5
打沉,2
扭盡六壬,1
拔苗助長,1
摩打,16
改行,2
文法學校,3
時針,7
晴天,11
智障,10
暱,7
暱稱,6
榜樣,4
母校,8
水貨,13
沖淡,6
浪子,3
深得,5
演出,25
特殊教育,1
白花油,1
白鴿眼,1
相稱,4
相長,1
真人真事,22
眼前一亮,5
素顏,6
考起,1
肺腑之言,5
背脊,33
自彈自唱,3
自閉,5
舊生,3
舜,7
苦功,6
荒誕,13
蛋糕,31
補習班,9
視藝,2
認受性,2
謝票,4
謹記,3
讚許,1
貨櫃,5
貨櫃車,2
貪靚,2
賴皮,2
輕快,8
辮,4
退出,11
逼近,8
鑊鏟,1
開懷,5
附上,3
陣容,3
陰涼,2
集資,1
離世,10
零舍,8
音樂劇,10
顧及,15
食譜,5
van仔,1
不勞而獲,5
乒乓球,1
仝人,1
側重,4
初版,2
勉勵,5
包生仔,2
可人,5
坐亞望冠,1
大俠,1
大會堂,9
大狀,5
大男人,3
家族,16
密密麻麻,4
密麻麻,6
對年,1
小偷,6
工潮,2
年貨,2
影射,4
得個樣,2
悲情,6
扒龍舟,1
挽救,6
搭順風車,6
撫心自問,4
新仔,7
栽,11
樓宇,5
檔期,3
正視,15
活力,6
海景,17
清道夫,2
灑脫,10
營造,12
爭氣,4
甩底,1
畫龜,1
磨滅,5
秋後算帳,3
致命傷,7
舊日,7
舒緩,4
花樽,3
說教,10
譬如話,12
貨van,1
追隨,5
退役,6
遐,3
遐想,3
長相廝守,1
難能可貴,7
順風,15
順風車,8
風車,10
骨氣,6
齊心,8
龍舟,19
龜縮,4
上落,16
不遺餘力,4
俾面,9
凶險,2
唔經唔覺,12
唱好,6
嚴冬,1
嚴詞,1
引證,2
後市,9
托市,2
放風,4
期指,8
牛市,2
狂放,1
粟米,19
肉酸,11
致辭,1
落馬,5
蟹貨,1
證監會,2
過山車,4
鄭重,12
重口味,20
鋼鐵,7
餘力,10
一片光明,4
上色,1
垂淚,2
字條,16
枱頭,5
注入,6
淚痕,7
熱淚,8
珍重,2
痛哭,24
落寞,3
話咁快,13
魂魄,7
全長,1
加快,16
女廁,4
後樓梯,15
心急如焚,6
慢食,3
紅燈,14
紅綠燈,9
衰在,6
離遠,12
GB,8
QQ,2
wiki,50
中心語,1
光纖,2
冕,10
冠冕,5
冠冕堂皇,4
勳,12
唚,4
太平紳士,1
夫姓,1
官守,1
工程師,17
引號,4
比數,6
測量,2
測量師,1
爵士,8
獨白,14
碗碟,6
稱謂,8
笑柄,2
紳士,1
老笠,3
聲樂,1
跟尾,3
頂癮,4
頭銜,6
飲飽食醉,2
jip,6
site,6
中文大學,13
中文字,9
俚語,6
倉頡,16
儀器,6
初賽,4
大賽,9
字邊,2
家產,5
楓,8
比賽,71
決賽,26
燉,4
燘,1
牛腩,11
白日,8
科目,13
紙本,1
街邊,27
詞匯,3
詩詞,10
輸入法,13
速成,10
鍛煉,5
開咪,3
事不宜遲,4
口面,9
地基,5
指正,2
搏鬥,6
深入淺出,2
熟口面,3
班門弄斧,1
發問,11
白痴,62
籠統,7
自討苦吃,1
丞相,3
並列,8
佐證,3
來來去去,16
偏旁,2
凸起,1
反諷,1
吞併,1
字詞,27
寢具,1
岌,31
岌頭,12
思鄉,7
拓展,1
搖頭,95
晃,43
有何不可,3
木耳,2
條理,10
樓台,1
權責,3
河床,1
牙床,1
笆,1
籬笆,1
縫隙,2
膽大心細,1
表述,8
講者,7
貫通,8
辭典,8
釋義,4
閑,7
順暢,8
類推,3
asso,8
cop,16
借故,8
偷懶,20
傳言,5
儲物櫃,13
入市,6
冇效,4
利潤,8
即叫即整,1
味蕾,8
啃,14
商號,3
喺度食,4
坐地,6
坐地起價,1
多寡,8
大熱天時,5
大肚,26
夾錢,6
官商勾結,2
定理,15
定食,6
實體,11
巡禮,6
工種,10
年班,9
底衫,4
後顧之憂,4
心煩,7
快事,3
惟獨,2
慳水慳力,8
手球,2
扑嘢,35
打風,8
打風落雨,1
折扣,7
指南針,2
撲面,10
支出,3
易手,1
替代品,3
期票,1
樓花,1
正中,18
汽車,6
泉源,2
波衫,3
波鞋,8
深信,34
漁民,12
熱天,10
牛肉,24
產物,11
畜牲,1
畸士,3
發售,3
白汁,1
碩士,23
等候,7
縮影,8
罰企,1
肥仔,66
膳,7
膳食,2
苦力,11
荷包蛋,4
蕾,27
蛋白,1
蛋黃,5
融資,5
衣食住行,5
課室,20
變本加厲,2
走投,3
走投無路,3
起價,1
農夫,6
返生,2
連載,23
連隨,2
醉心,4
金黃,12
錄影機,6
長跑,5
長途跋涉,2
開鑊,2
限量,3
隊員,8
集團,27
領先,8
飯票,3
黑市,6
九月,24
停電,6
冇料,3
冇料到,2
到來,8
力場,9
加設,1
十號,8
十號波,3
十號風球,3
大風,16
季候風,7
安度,1
山竹,10
幕後黑手,4
惡搞,9
懸掛,1
搖晃,18
摩天大廈,6
暈船浪,1
有咩依郁,3
李氏力場,3
杏,9
梅開二度,3
氣旋,10
水溫,7
災情,1
熱帶,12
熱帶氣旋,9
熱量,1
猶有餘悸,3
相距,6
老早,8
耕田,10
要命,7
追風,2
預報,2
風球,10
風速,3
颶風,1
黑手,4
人文學,5
人文學科,2
全稱,2
問卷,10
問答,8
平調,7
影音,2
思疑,2
拙作,2
摘要,5
收尾,8
文史哲,16
獨唱,2
短語,9
科大,7
科技大學,1
節錄,3
網誌,5
綿羊,4
造福,4
錯配,5
音節,19
乏味,3
作威作福,2
作福,3
倒影,2
傳真,5
傳真機,3
八卦,16
千金,9
回來,35
國手,2
好吃,6
如獲至寶,2
小便,4
小鳥,6
律師信,3
拍子,13
拍子簿,1
掠,12
掠過,8
推卸,6
揼骨,2
搗蛋,1
櫻桃,5
爺爺,14
百厭,5
知錯能改,2
筆袋,1
花紅,24
詐病,3
諸事八卦,1
貪小便宜,1
貼紙,11
賤精,1
進口,7
鋼筆,1
閃電,23
閒事,14
閒暇,6
A股,3
三高,1
主板,1
先驅,4
冷靜期,2
創業,8
原始,7
可口可樂,3
回到,52
封殺,4
市值,7
年底,13
廠佬,2
成本效益,8
收購,12
景仰,3
會否,23
李嘉誠,27
毫子,11
泡沫,16
爆破,11
直銷,1
編號,11
聯營,2
英年早逝,2
薄利多銷,1
行列,4
見紅,2
賣出,7
起源,3
身形,35
鋤強扶弱,1
開辦,4
鞠躬盡瘁,1
頭條,13
高見,5
VR,2
伴隨,8
僵硬,13
吹氣,1
四肢,23
夢魘,3
天花板,26
定驚,5
平伏,10
幻聽,3
心寒,10
心有餘悸,2
懷抱,8
手紋,1
扎醒,3
擺位,2
擺動,5
早抖,8
昌明,2
淆,30
淆底,8
潛意識,13
瀨尿,2
硬晒,6
肉身,11
肢,42
花紋,9
衛星,6
車聲,1
辟邪,3
醒定,4
開燈,17
離譜,20
靜止,9
馬上,16
黑影,20
一語道破,4
不明所以,10
不見得,1
人造衛星,2
例假,1
冇癮,2
冇穿冇爛,1
冷言冷語,5
凝望,11
割據,1
午市,1
嘲笑,21
嘴唇,34
報酬,4
墜落,9
壯闊,5
夜以繼日,2
大差,2
失常,19
姍姍來遲,1
孤僻,6
宿主,11
小數,4
山區,5
張牙舞爪,9
彎腰,5
得體,10
快活谷,1
悔意,4
惟恐,2
披,35
按圖索驥,1
按部就班,1
捅,10
援手,3
擦槍走火,1
擱置,3
易如反掌,3
晚市,2
暴躁,5
有幾可,8
死性不改,1
求情,6
求診,1
污穢,9
波瀾,5
波瀾壯闊,3
洽,3
海量,3
消逝,4
滋事,5
滿載,2
火花,12
無恥,20
無理取鬧,7
無藥可救,14
煩擾,4
燃燒,21
生人勿近,1
病歷,1
白卡,1
相安無事,6
礙於,7
神志,4
約會,23
羞愧,6
苛求,2
言猶在耳,7
諱疾忌醫,1
識趣,8
身世,15
逾期,2
適者生存,1
重力,3
鎗,7
閱人無數,1
阿彌陀佛,3
阿門,2
養家,5
饑民,1
黏附,1
C6,2
GiB,1
Mb,1
bio,3
immi,4
koe,1
一視同仁,8
三生有幸,2
三腳貓,2
不以為然,7
事務局,2
二手,14
交情,8
交投,10
人山人海,5
作狀,18
作病,1
偶遇,3
傾兩句,3
元音,5
全場,20
冶,7
出戲,1
勾當,4
博覽,4
參展,2
參詳,5
參賽,7
反勝,2
可喜,8
合群,4
同仁,16
同業,2
名勝,3
和善,3
商務,9
囹圄,1
城大,18
增廣見聞,1
多多聲,11
大專,3
大老倌,2
天窗,11
夫子,9
官網,1
客戶,15
寒暄,3
射箭,3
專區,2
山人,6
平心而論,5
廁所板,3
形而上,6
得切,24
徵兆,4
忍手,2
戲曲,3
戳,4
打書釘,8
扣題,4
扮演,11
抱負,4
抵受,10
拉關係,1
指明,4
指涉,4
振振有詞,6
掛帥,3
插手,13
搭上,12
搭上搭,1
摒除,3
擸,4
擺賣,2
攀石,1
攤位,12
收穫,5
攻佔,3
政事,5
救助,1
教法,2
散貨,3
文儀,3
文娛,1
文抄公,1
文科,67
新秀,3
斷市,8
明信片,12
星火燎原,1
時髦,3
曲終人散,2
書店,38
書目,5
書籍,8
會館,1
本位,13
棚屋,4
櫳,3
次文化,7
歐陽,11
水喉,6
水路,1
油水,4
油雞,1
法定,18
泵,3
消閒,8
滄海遺珠,4
滾熱辣,2
漫遊,4
潮文,13
烽,4
烽煙,2
烽煙四起,1
爆紅,9
獨家村,2
留心,11
病床,11
發展局,5
發配邊疆,1
皇天,6
盞鬼,5
盤踞,1
直落,2
相干,8
相思,18
真假,17
真是,8
眼冤,6
瞰,6
砥,2
砥礪,1
礪,1
祝願,8
秀出,1
私心,8
科普,3
童書,7
算係咁,36
篤數,1
絲路,1
缺席,7
老倌,3
老調重彈,2
背囊,30
臥,7
臥虎藏龍,3
舌尖,1
舖面,1
藏品,4
見聞,3
視覺藝術,1
詞典,35
語族,11
論及,1
財雄勢大,2
貿發局,2
賣淫,6
賣點,3
走馬看花,1
起勁,7
趁墟,1
路數,7
軟性,3
輔音,4
轉軚,2
迷你,14
送信,4
送暖,2
邊疆,2
郵差,2
鄙視,20
開倉,3
間唔時,2
闊落,2
阮,3
防務,1
陰陽相隔,3
陶冶,5
頂櫳,1
頭啖湯,1
風俗,2
風貌,2
駐足,6
骨緻,1
高抬貴手,3
髦,3
鳥瞰,1
鴻溝,2
鵝頸橋,1
黯,5
上半,18
不為所動,11
不甘後人,1
世界盃,54
中路,13
中鋒,3
以逸待勞,1
克羅地亞,13
凌空,5
出界,1
助攻,1
半場,22
受阻,2
古仔,4
合共,3
四強,3
固之然,4
外地,15
射門,2
屢次,2
峰迴路轉,3
後防,6
徒勞無功,7
抽射,4
接應,12
斯文,23
比利時,10
淘汰賽,1
炮彈,1
球證,15
皮球,5
盃,64
禁區,13
秉,9
秉承,4
策動,4
緊迫,8
英格蘭,36
角球,9
記憶猶新,4
豁出去,17
賽事,11
賽果,6
近柱,1
追平,1
長傳,4
門將,16
開筆,4
阿根廷,21
陣式,3
頭槌,5
馳騁,2
驚險,5
黃牌,2
佛山,5
分區,6
周公,2
國籍,12
地標,13
境內,4
多利亞,16
教義,3
有限度,2
朱義盛,5
架構,6
油尖旺,4
法案,4
港灣,3
滘,1
無窮無盡,7
番禺,1
粵人,4
讚賞,14
通勝,4
順德,3
PC,2
ball,6
前女,7
剩下,16
商科,7
好鬼,52
子音,4
安穩,20
官校,1
尖子,2
師兄,39
師姐,28
幾何級數,6
律師行,1
從政,13
恩典,1
想當年,4
拔尖,2
掹掹緊,2
搞事,16
文憑,11
機會成本,6
港豬,38
炸雞,22
狀元,10
矽,3
秘撈,1
穩陣,34
終日,20
考生,16
臭名遠播,1
花王,2
術科,1
連鎖店,7
重係,9
闊太,1
入息,3
合資,5
唱通街,1
回本,6
局長,34
年金,14
援助,3
款項,2
物價,5
相加,2
細說,3
總值,4
長生津,7
限額,4
領取,2
企鵝,4
差別,17
折衷,6
文言文,23
淵源,3
詞類,5
語義,3
頻率,11
飛碟,1
人影,31
充公,5
分毫,3
揼石仔,8
死寂,17
永生,4
漸趨,3
產婦,1
積水,1
細問,3
震憾,3
一陣間,12
三角形,8
中線,6
側面,13
內壁,1
內置,3
切割,7
切片,4
前前後後,3
十進制,3
原材料,7
右面,2
啪啪聲,1
啱心水,3
